iter	Passed	Remaining
0	9	132
1	27	180
2	45	180
3	67	186
4	83	166
5	109	163
6	127	146
7	136	119
8	144	96
9	162	81
10	166	60
11	181	45
12	190	29
13	204	14
14	223	0
