iter	RMSE
0	7608.290651
1	5899.375969
2	5098.411885
3	4819.976887
4	4693.482253
5	4604.563519
6	4525.923633
7	4497.648407
8	4491.679093
9	4430.950989
10	4429.201033
11	4350.603026
12	4345.532782
13	4296.965849
14	4259.138707
