iter	Passed	Remaining
416	2538	3549
417	2544	3542
418	2549	3535
419	2555	3529
420	2561	3523
421	2566	3515
422	2573	3510
423	2579	3503
424	2585	3497
425	2590	3491
426	2596	3483
427	2602	3477
428	2607	3470
429	2615	3466
430	2622	3462
431	2627	3455
432	2633	3448
433	2638	3441
434	2644	3434
435	2650	3428
436	2655	3421
437	2661	3415
438	2667	3408
439	2672	3401
440	2677	3394
441	2683	3387
442	2688	3380
443	2693	3373
444	2699	3366
445	2704	3359
446	2710	3353
447	2715	3346
448	2721	3339
449	2727	3333
450	2732	3326
451	2737	3318
452	2742	3311
453	2748	3305
454	2753	3298
455	2759	3292
456	2764	3285
457	2770	3279
458	2776	3272
459	2782	3266
460	2788	3260
461	2794	3253
462	2799	3247
463	2806	3241
464	2815	3239
465	2821	3232
466	2827	3227
467	2833	3220
468	2838	3213
469	2844	3207
470	2850	3200
471	2855	3194
472	2861	3188
473	2867	3181
474	2873	3175
475	2878	3169
476	2884	3162
477	2889	3155
478	2895	3149
479	2900	3142
480	2908	3138
481	2915	3132
482	2920	3125
483	2925	3119
484	2931	3112
485	2936	3105
486	2941	3098
487	2947	3092
488	2952	3085
489	2958	3079
490	2963	3072
491	2968	3065
492	2974	3058
493	2979	3052
494	2985	3045
495	2990	3038
496	2996	3032
497	3001	3025
498	3006	3018
499	3012	3012
500	3017	3005
501	3023	2999
502	3028	2992
503	3034	2986
504	3039	2979
505	3045	2972
506	3050	2966
507	3056	2959
508	3061	2953
509	3066	2946
510	3072	2940
511	3077	2933
512	3083	2927
513	3089	2920
514	3095	2914
515	3100	2908
516	3105	2901
517	3111	2894
518	3116	2888
519	3122	2881
520	3127	2875
521	3132	2868
522	3138	2862
523	3143	2855
524	3149	2849
525	3156	2844
526	3163	2839
527	3170	2834
528	3175	2827
529	3181	2821
530	3187	2815
531	3192	2808
532	3200	2804
533	3208	2799
534	3214	2793
535	3220	2787
536	3225	2780
537	3230	2774
538	3236	2767
539	3242	2761
540	3247	2755
541	3253	2748
542	3258	2742
543	3263	2735
544	3269	2729
545	3274	2723
546	3280	2716
547	3285	2710
548	3291	2703
549	3299	2699
550	3305	2693
551	3311	2687
552	3317	2681
553	3322	2674
554	3327	2668
555	3333	2661
556	3338	2655
557	3343	2648
558	3349	2642
559	3355	2636
560	3360	2629
561	3365	2623
562	3371	2616
563	3376	2610
564	3381	2603
565	3387	2597
566	3394	2592
567	3401	2587
568	3407	2581
569	3413	2575
570	3418	2568
571	3424	2562
572	3430	2556
573	3435	2549
574	3440	2543
575	3446	2537
576	3452	2530
577	3457	2524
578	3462	2517
579	3468	2511
580	3474	2505
581	3479	2498
582	3485	2492
583	3490	2486
584	3496	2480
585	3501	2473
586	3506	2467
587	3512	2460
588	3517	2454
589	3522	2447
590	3527	2441
591	3532	2434
592	3538	2428
593	3543	2422
594	3548	2415
595	3554	2409
596	3559	2402
597	3565	2396
598	3570	2390
599	3576	2384
600	3581	2377
601	3586	2371
602	3592	2364
603	3597	2358
604	3602	2352
605	3607	2345
606	3613	2339
607	3618	2333
608	3624	2326
609	3629	2320
610	3634	2314
611	3640	2308
612	3645	2301
613	3651	2295
614	3656	2289
615	3661	2282
616	3667	2276
617	3672	2269
618	3677	2263
619	3682	2257
620	3689	2251
621	3696	2246
622	3701	2240
623	3706	2233
624	3712	2227
625	3717	2221
626	3723	2214
627	3728	2208
628	3734	2202
629	3739	2196
630	3744	2189
631	3750	2183
632	3755	2177
633	3760	2170
634	3765	2164
635	3771	2158
636	3776	2151
637	3781	2145
638	3786	2139
639	3793	2133
640	3799	2127
641	3804	2121
642	3809	2115
643	3815	2109
644	3820	2102
645	3825	2096
646	3832	2090
647	3838	2085
648	3844	2079
649	3850	2073
650	3855	2066
651	3860	2060
652	3865	2054
653	3871	2048
654	3876	2041
655	3881	2035
656	3887	2029
657	3892	2023
658	3898	2017
659	3903	2010
660	3909	2004
661	3914	1998
662	3920	1992
663	3925	1986
664	3930	1980
665	3935	1973
666	3941	1967
667	3946	1961
668	3951	1955
669	3957	1949
670	3962	1942
671	3967	1936
672	3972	1930
673	3978	1924
674	3983	1918
675	3989	1912
676	3994	1905
677	3999	1899
678	4006	1893
679	4011	1887
680	4017	1881
681	4022	1875
682	4028	1869
683	4033	1863
684	4038	1857
685	4044	1851
686	4049	1844
687	4054	1838
688	4059	1832
689	4065	1826
690	4070	1820
691	4077	1814
692	4084	1809
693	4090	1803
694	4095	1797
695	4100	1791
696	4106	1785
697	4112	1779
698	4117	1773
699	4123	1767
700	4128	1760
701	4134	1754
702	4139	1748
703	4145	1742
704	4150	1736
705	4155	1730
706	4161	1724
707	4167	1718
708	4172	1712
709	4178	1706
710	4184	1701
711	4190	1694
712	4195	1688
713	4201	1682
714	4206	1676
715	4212	1670
716	4218	1664
717	4223	1658
718	4228	1652
719	4234	1646
720	4240	1640
721	4245	1634
722	4250	1628
723	4256	1622
724	4261	1616
725	4267	1610
726	4272	1604
727	4278	1598
728	4283	1592
729	4288	1586
730	4294	1580
731	4299	1574
732	4305	1568
733	4311	1562
734	4316	1556
735	4322	1550
736	4327	1544
737	4333	1538
738	4338	1532
739	4344	1526
740	4350	1520
741	4355	1514
742	4361	1508
743	4367	1502
744	4372	1496
745	4378	1490
746	4383	1484
747	4389	1478
748	4395	1472
749	4401	1467
750	4406	1460
751	4412	1455
752	4417	1448
753	4422	1442
754	4428	1437
755	4434	1431
756	4440	1425
757	4445	1419
758	4451	1413
759	4456	1407
760	4462	1401
761	4468	1395
762	4473	1389
763	4479	1383
764	4484	1377
765	4490	1371
766	4495	1365
767	4500	1359
768	4506	1353
769	4511	1347
770	4517	1341
771	4522	1335
772	4528	1329
773	4533	1323
774	4539	1317
775	4544	1311
776	4549	1305
777	4554	1299
778	4560	1293
779	4566	1287
780	4571	1281
781	4576	1275
782	4582	1269
783	4587	1263
784	4593	1258
785	4598	1252
786	4604	1246
787	4609	1240
788	4615	1234
789	4620	1228
790	4626	1222
791	4631	1216
792	4636	1210
793	4641	1204
794	4647	1198
795	4652	1192
796	4658	1186
797	4664	1180
798	4669	1174
799	4675	1168
800	4680	1162
801	4685	1156
802	4691	1150
803	4696	1144
804	4702	1139
805	4708	1133
806	4713	1127
807	4719	1121
808	4724	1115
809	4730	1109
810	4735	1103
811	4740	1097
812	4746	1091
813	4758	1087
814	4764	1081
815	4770	1075
816	4775	1069
817	4780	1063
818	4786	1057
819	4791	1051
820	4796	1045
821	4802	1040
822	4808	1034
823	4813	1028
824	4819	1022
825	4824	1016
826	4829	1010
827	4834	1004
828	4840	998
829	4845	992
830	4851	986
831	4856	980
832	4862	974
833	4868	968
834	4874	963
835	4879	957
836	4884	951
837	4890	945
838	4896	939
839	4901	933
840	4907	927
841	4912	921
842	4918	915
843	4923	909
844	4929	904
845	4934	898
846	4939	892
847	4945	886
848	4950	880
849	4956	874
850	4961	868
851	4966	862
852	4971	856
853	4977	850
854	4982	845
855	4988	839
856	4993	833
857	4998	827
858	5004	821
859	5009	815
860	5014	809
861	5020	803
862	5026	797
863	5031	791
864	5037	786
865	5043	780
866	5050	774
867	5056	768
868	5061	763
869	5067	757
870	5072	751
871	5077	745
872	5082	739
873	5087	733
874	5093	727
875	5099	721
876	5107	716
877	5113	710
878	5118	704
879	5124	698
880	5129	692
881	5135	687
882	5144	681
883	5151	676
884	5157	670
885	5163	664
886	5168	658
887	5173	652
888	5179	646
889	5184	640
890	5190	634
891	5195	629
892	5201	623
893	5206	617
894	5212	611
895	5217	605
896	5223	599
897	5228	593
898	5233	588
899	5240	582
900	5247	576
901	5253	570
902	5259	564
903	5264	559
904	5270	553
905	5275	547
906	5281	541
907	5287	535
908	5292	529
909	5298	523
910	5303	518
911	5309	512
912	5314	506
913	5320	500
914	5325	494
915	5331	488
916	5337	483
917	5345	477
918	5351	471
919	5356	465
920	5362	459
921	5367	454
922	5373	448
923	5378	442
924	5384	436
925	5389	430
926	5395	424
927	5400	419
928	5406	413
929	5411	407
930	5417	401
931	5422	395
932	5428	389
933	5434	384
934	5441	378
935	5448	372
936	5456	366
937	5464	361
938	5472	355
939	5480	349
940	5488	344
941	5496	338
942	5504	332
943	5512	327
944	5520	321
945	5528	315
946	5536	309
947	5544	304
948	5552	298
949	5560	292
950	5568	286
951	5576	281
952	5583	275
953	5591	269
954	5599	263
955	5607	258
956	5615	252
957	5627	246
958	5636	240
959	5644	235
960	5652	229
961	5660	223
962	5668	217
963	5676	211
964	5684	206
965	5691	200
966	5699	194
967	5708	188
968	5717	182
969	5725	177
970	5733	171
971	5741	165
972	5750	159
973	5758	153
974	5766	147
975	5774	141
976	5781	136
977	5788	130
978	5796	124
979	5805	118
980	5813	112
981	5820	106
982	5828	100
983	5836	94
984	5844	89
985	5853	83
986	5860	77
987	5868	71
988	5876	65
989	5884	59
990	5892	53
991	5900	47
992	5908	41
993	5916	35
994	5924	29
995	5932	23
996	5939	17
997	5947	11
998	5955	5
999	5963	0
