iter	RMSE
320	0.4299567525
321	0.4297506641
322	0.4294888731
323	0.4292866239
324	0.4290396176
325	0.4288071684
326	0.428635305
327	0.4284807505
328	0.4282223571
329	0.4280190494
330	0.4278539235
331	0.4274423071
332	0.4272399316
333	0.4270132615
334	0.4267771232
335	0.4265495455
336	0.426236476
337	0.4259470073
338	0.4257089444
339	0.4254334073
340	0.4252699937
341	0.4251324223
342	0.4249046113
343	0.424761277
344	0.4244980184
345	0.4242834504
346	0.4241014995
347	0.4239087297
348	0.4237835093
349	0.4235832279
350	0.4233660717
351	0.4231930712
352	0.422881622
353	0.4225634424
354	0.4223653591
355	0.4221978428
356	0.4219758872
357	0.4215745426
358	0.4213517123
359	0.4211488411
360	0.4209063232
361	0.4207286744
362	0.4205343514
363	0.420363427
364	0.4201423634
365	0.4198772213
366	0.4196245291
367	0.4194319902
368	0.4193102386
369	0.4191060878
370	0.418907932
371	0.4187340044
372	0.4185954165
373	0.4184079904
374	0.4182262106
375	0.4180330217
376	0.4177807769
377	0.4175923703
378	0.4174172917
379	0.4172391883
380	0.4170443538
381	0.4168020145
382	0.4165969212
383	0.4164632241
384	0.4162140201
385	0.4160684862
386	0.4159669764
387	0.4157069556
388	0.4155400512
389	0.4153128184
390	0.4151755652
391	0.4149782513
392	0.414795085
393	0.4145815332
394	0.4144547334
395	0.4142592279
396	0.4140461047
397	0.4138664493
398	0.4137106925
399	0.4134871877
400	0.4133287923
401	0.4131432831
402	0.4129708809
403	0.4128543133
404	0.4126907091
405	0.4125202991
406	0.4122174847
407	0.412034207
408	0.4118762288
409	0.4117153876
410	0.4115806515
411	0.4112273884
412	0.4109964212
413	0.4108880966
414	0.4107640799
415	0.4106237584
416	0.4104262821
417	0.4103142697
418	0.4101003425
419	0.4099622616
420	0.4097315714
421	0.4095326668
422	0.4093344712
423	0.4090380715
424	0.4088067176
425	0.4085882426
426	0.4084477413
427	0.4083122069
428	0.4081901371
429	0.4080201069
430	0.407890363
431	0.4077821885
432	0.4076438801
433	0.4074811771
434	0.4072763248
435	0.4071379157
436	0.4068515474
437	0.406663331
438	0.4065075698
439	0.4063581619
440	0.4062238542
441	0.4059697333
442	0.40584981
443	0.4056473969
444	0.4055050071
445	0.4053076212
446	0.4049698383
447	0.4048084743
448	0.4046998122
449	0.4045292299
450	0.4044366174
451	0.4043357748
452	0.404119633
453	0.4038607921
454	0.4036009635
455	0.4034096107
456	0.4032883587
457	0.4031578552
458	0.4030395988
459	0.4028190247
460	0.4026291406
461	0.4024058162
462	0.4021824654
463	0.4020029901
464	0.4018194772
465	0.4016450322
466	0.4014372531
467	0.4012545957
468	0.4011575111
469	0.4009896793
470	0.4008031966
471	0.4006545053
472	0.400542545
473	0.4003805055
474	0.4002092738
475	0.4001115195
476	0.3999733515
477	0.3997959409
478	0.3996514633
479	0.3995603087
480	0.3994625146
481	0.3993162227
482	0.3992293609
483	0.3990460314
484	0.3988722341
485	0.3987362982
486	0.3985887879
487	0.3984458061
488	0.3982281134
489	0.398096699
490	0.3979857927
491	0.3978708946
492	0.3977712174
493	0.3975708191
494	0.3974307506
495	0.3972559141
496	0.3971312296
497	0.3968788601
498	0.3967823595
499	0.3966372167
500	0.396476356
501	0.3963827177
502	0.3962531407
503	0.3961525339
504	0.3959839217
505	0.3958380434
506	0.3957424771
507	0.3955876097
508	0.3954498048
509	0.39518638
510	0.3950341945
511	0.3949152943
512	0.3947667694
513	0.3946085926
514	0.3944020536
515	0.3942121812
516	0.3940901924
517	0.3939667182
518	0.393821944
519	0.3936853138
520	0.3934897934
521	0.3933191691
522	0.3931426969
523	0.3929716619
524	0.3928255118
525	0.3927197272
526	0.3925329662
527	0.3924270518
528	0.3923460087
529	0.3921634059
530	0.392035185
531	0.3919064452
532	0.3917964482
533	0.3916250136
534	0.3914515176
535	0.3912707216
536	0.3911387884
537	0.3910651804
538	0.3908950799
539	0.3907312949
540	0.3904660806
541	0.3903506524
542	0.3901741215
543	0.3899895153
544	0.3898597406
545	0.3897058536
546	0.3895713863
547	0.3894688764
548	0.3893350944
549	0.3891468112
550	0.3889421041
551	0.3888128516
552	0.3887013911
553	0.3886306782
554	0.3884838066
555	0.388327725
556	0.3882737903
557	0.388153766
558	0.3880133462
559	0.3878802766
560	0.3876960044
561	0.387561246
562	0.3873879655
563	0.3872716805
564	0.3871871363
565	0.3870414481
566	0.3868715762
567	0.3867540627
568	0.3866079395
569	0.386465461
570	0.3863678856
571	0.38617134
572	0.3859969806
573	0.3858105157
574	0.3856827316
575	0.385578327
576	0.3854212007
577	0.3852810246
578	0.385158671
579	0.3850485308
580	0.3847723702
581	0.3846877566
582	0.3845743945
583	0.3843768531
584	0.3841630235
585	0.3840688785
586	0.383960385
587	0.383765256
588	0.3836762334
589	0.3835409518
590	0.3834391284
591	0.3832722523
592	0.3830859958
593	0.3829619583
594	0.3828496367
595	0.3825548897
596	0.3824289352
597	0.3822294494
598	0.3821003814
599	0.3820515685
600	0.3818857695
601	0.381780395
602	0.3816983921
603	0.3815851868
604	0.3813728198
605	0.3812962568
606	0.3811585884
607	0.3810789059
608	0.3808878795
609	0.3808024576
610	0.3806611471
611	0.3805235552
612	0.3803769076
613	0.3801912783
614	0.3801122267
615	0.3799875206
616	0.3798459912
617	0.3797821451
618	0.3796913761
619	0.3795859164
620	0.3793981321
621	0.3792206018
622	0.3791058669
623	0.3789691556
624	0.3788175446
625	0.3786755231
626	0.3785722532
627	0.3784216933
628	0.3783124773
629	0.3782093197
630	0.3781107977
631	0.3779900372
632	0.3778742306
633	0.3777233655
634	0.3776237705
635	0.3775174967
636	0.3773674356
637	0.3772371929
638	0.3771249304
639	0.3769884132
640	0.3769189107
641	0.3768097304
642	0.3766805249
643	0.3764916162
644	0.3763628053
645	0.3762819118
646	0.3761209468
647	0.3759311826
648	0.3758003047
649	0.3756609106
650	0.3755662171
651	0.3754235881
652	0.3753334416
653	0.3752720342
654	0.3751465317
655	0.3750838742
656	0.3748887764
657	0.3747828755
658	0.3746651192
659	0.3745470827
660	0.3744458905
661	0.374251799
662	0.3741134512
663	0.3740088321
664	0.3738530557
665	0.3737063683
666	0.3735691163
667	0.37348567
668	0.3734159723
669	0.3732943977
670	0.3731579044
671	0.3730326223
672	0.37297681
673	0.3728232858
674	0.3727537846
675	0.3726465535
676	0.3724738575
677	0.3723926012
678	0.3722419329
679	0.3720930332
680	0.371872215
681	0.3717500436
682	0.371662741
683	0.3715907594
684	0.3715140511
685	0.3714501346
686	0.3713638486
687	0.3712954239
688	0.3711347744
689	0.3710744289
690	0.370986809
691	0.3708764045
692	0.3707636593
693	0.3706185889
694	0.3705283389
695	0.3704019296
696	0.3702477408
697	0.370093203
698	0.3699246279
699	0.369818835
700	0.3696770102
701	0.3695150108
702	0.3694210495
703	0.3692799383
704	0.3691557067
705	0.3690141072
706	0.3689053175
707	0.3688143401
708	0.3687141443
709	0.3685023054
710	0.368393041
711	0.3682915726
712	0.3682263788
713	0.3679670073
714	0.3678823648
715	0.3677816639
716	0.367625041
717	0.3675422681
718	0.3673928859
719	0.3672556795
720	0.3671093554
721	0.3670150066
722	0.3669782031
723	0.3668709871
724	0.3667727766
725	0.3665526883
726	0.3664549885
727	0.3663048415
728	0.3662013391
729	0.3661386895
730	0.3658771622
731	0.3658325793
732	0.3657592259
733	0.365669651
734	0.3655347561
735	0.365384366
736	0.3652615629
737	0.365173271
738	0.365076366
739	0.3649647518
740	0.3648319618
741	0.3647541335
742	0.364661679
743	0.3644264523
744	0.3643179441
745	0.3641240666
746	0.3639942736
747	0.3638651765
748	0.3637180059
749	0.3636223687
750	0.3635348781
751	0.3634500585
752	0.3633945125
753	0.3632804234
754	0.3631462677
755	0.3630504632
756	0.3628652152
757	0.3627843193
758	0.362681052
759	0.3626135653
760	0.3625580009
761	0.3624706548
762	0.3623407734
763	0.3621709917
764	0.3620925975
765	0.3620064247
766	0.3619339032
767	0.3617360332
768	0.3616310721
769	0.3615538448
770	0.3614634422
771	0.3612997554
772	0.36114563
773	0.3610272143
774	0.3608863818
775	0.3606736775
776	0.3605464251
777	0.3604532317
778	0.3603615738
779	0.3602652327
780	0.3601520032
781	0.360007411
782	0.3599232516
783	0.3597953789
784	0.3596335554
785	0.3595715847
786	0.3594833044
787	0.3594050009
788	0.3593192668
789	0.3591582674
790	0.3590975928
791	0.3590429259
792	0.3589483946
793	0.358854628
794	0.3587863167
795	0.3586815609
796	0.3585988034
797	0.3585034458
798	0.3583802887
799	0.3582863097
800	0.3581838763
801	0.3579674339
802	0.3578873908
803	0.3577699582
804	0.3576168925
805	0.3574992951
806	0.3574098262
807	0.357332123
808	0.3572401849
809	0.3571718154
810	0.3570629402
811	0.3569611559
812	0.356916731
813	0.3568570589
814	0.3567361671
815	0.3566734721
816	0.3565967677
817	0.3564782817
818	0.3563494321
819	0.3562533243
820	0.3561446515
821	0.3560691973
822	0.3559433116
823	0.3558578924
824	0.3557719132
825	0.3557180265
826	0.3556437947
827	0.3555620828
828	0.3554886879
829	0.3553956099
830	0.3552778235
831	0.3551938432
832	0.3550879399
833	0.3549316804
834	0.3547980337
835	0.354706217
836	0.3546393451
837	0.3545537123
838	0.3544577849
839	0.354356797
840	0.3542754579
841	0.3541765491
842	0.3540932559
843	0.3539584565
844	0.3538900225
845	0.35376642
846	0.3536881428
847	0.3535690901
848	0.3535076177
849	0.3533743374
850	0.3532601361
851	0.3532075145
852	0.3531180123
853	0.3530171803
854	0.3529460936
855	0.3528786125
856	0.3527664781
857	0.3526904002
858	0.3525881542
859	0.3525195493
860	0.3524273165
861	0.3523026901
862	0.3522140661
863	0.3521643515
864	0.3520373798
865	0.3519624023
866	0.3518931122
867	0.3517982085
868	0.3517394826
869	0.3516612065
870	0.3515672948
871	0.3514758748
872	0.3513913846
873	0.3513369864
874	0.3512846864
875	0.351233154
876	0.3511629201
877	0.3510408196
878	0.3509429052
879	0.3509029264
880	0.350813374
881	0.3507364111
882	0.3506236453
883	0.3505084165
884	0.3504546671
885	0.3503772138
886	0.3503231212
887	0.350231071
888	0.3500674319
889	0.3500158407
890	0.349931526
891	0.3497818435
892	0.349666702
893	0.3495750826
894	0.3494682065
895	0.3493907
896	0.3493243894
897	0.3492115308
898	0.3490700506
899	0.3490218062
900	0.3489181778
901	0.3488405366
902	0.3487621789
903	0.3486735838
904	0.3486094383
905	0.3485000985
906	0.3484200031
907	0.3483468844
908	0.348254062
909	0.3481157492
910	0.3480190812
911	0.3479504072
912	0.3478656308
913	0.3477383715
914	0.3476627645
915	0.3475294923
916	0.347438463
917	0.3473642291
918	0.3472888079
919	0.3472425955
920	0.3471233928
921	0.3470417653
922	0.3468790733
923	0.3467854842
924	0.3466752182
925	0.3465987188
926	0.3465478606
927	0.3464981471
928	0.3463926437
929	0.3462875676
930	0.3461549087
931	0.3460695207
932	0.3460234076
933	0.3459705197
934	0.3459174079
935	0.3458251127
936	0.3457320591
937	0.3456033311
938	0.3455365714
939	0.3454452493
940	0.3453855514
941	0.3453365159
942	0.3452369879
943	0.3451319396
944	0.3449913921
945	0.3449158526
946	0.3448490368
947	0.3447416079
948	0.344665168
949	0.3446091688
950	0.3445545723
951	0.3445171687
952	0.3444622646
953	0.3443977926
954	0.344302771
955	0.3442420954
956	0.3441701222
957	0.3440831331
958	0.3440284638
959	0.3439182981
960	0.3438699492
961	0.3438049711
962	0.3437158448
963	0.3436663655
964	0.3435918267
965	0.3434933472
966	0.3433293041
967	0.3432270172
968	0.3431552573
969	0.3430927924
970	0.3430347349
971	0.3429552201
972	0.3428457804
973	0.3427848543
974	0.3427092275
975	0.3426269974
976	0.3425129984
977	0.3424495506
978	0.3423751598
979	0.342305234
980	0.34222727
981	0.3421607769
982	0.3420715146
983	0.3420195811
984	0.3419408229
985	0.3418891973
986	0.341768084
987	0.341699151
988	0.3416368452
989	0.34158021
990	0.3415287643
991	0.3414621525
992	0.3413641015
993	0.3412896698
994	0.3412409687
995	0.3411064473
996	0.3410149969
997	0.3409142992
998	0.3408388516
999	0.3407307325
